tract,population,ca,ca_pop,tract_pop_proport
17031440202,1959,44,16965,0.11547303271441202
17031310900,1355,31,10688,0.12677769461077845
17031243100,954,24,35052,0.02721670660732626
17031834500,692,40,5444,0.12711241734019105
17031400800,1234,40,5444,0.2266715650257164
17031770700,1013,76,10300,0.0983495145631068
17031650302,1213,65,9939,0.12204447127477613
17031050100,1162,5,14463,0.08034294406416373
17031251600,1741,25,44880,0.03879233511586453
17031161100,787,16,19181,0.04103018612168292
17031842400,1723,44,16965,0.10156203949307398
17031610400,405,61,12807,0.03162333099086437
17031120400,1453,12,11826,0.12286487400642651
17031670700,676,67,16129,0.04191208382416765
17031351500,230,35,8480,0.027122641509433963
17031381700,2,38,11594,1.7250301880282904e-4
17031242100,1634,24,35052,0.04661645555175168
17031830600,1476,1,18966,0.07782347358430876
17031730202,1655,73,14261,0.11605076782834303
17031480200,696,48,7845,0.08871892925430211
17031842900,1153,28,24753,0.04658021249949501
17031310300,619,31,10688,0.05791541916167665
17031290900,1983,29,15705,0.1262655205348615
17031836700,1094,23,20365,0.05371961698993371
17031282800,603,28,24753,0.024360683553508667
17031834000,1463,49,22197,0.06590980763166193
17031560900,2089,56,13660,0.15292825768667642
17031420400,719,42,12194,0.05896342463506642
17031110501,1936,11,10726,0.18049599104978556
17031681300,1166,68,13284,0.08777476663655526
17031191302,1250,19,22514,0.055521009149862306
17031840800,735,30,15726,0.04673788630293781
17031010600,2235,1,18966,0.11784245491932932
17031670500,544,67,16129,0.033728067456134915
17031210501,1156,21,12916,0.08950139362031588
17031836900,616,27,9266,0.06647960284912584
17031280400,628,28,24753,0.02537066214196259
17031242600,2403,24,35052,0.06855528928449162
17031410200,373,41,11097,0.03361268811390466
17031760803,1556,76,10300,0.15106796116504853
17031839500,717,35,8480,0.08455188679245283
17031250500,3266,25,44880,0.07277183600713012
17031730500,2395,73,14261,0.16794053712923357
17031700501,3502,70,16316,0.21463594018141702
17031250300,2026,25,44880,0.04514260249554367
17031030601,1071,77,21394,0.05006076470038329
17031430500,1835,43,24231,0.07572943749742066
17031050300,1110,5,14463,0.0767475627463182
17031130300,1644,13,6403,0.25675464625956584
17031390300,1211,39,8613,0.14060141646348542
17031680500,706,68,13284,0.05314664257753689
17031030104,740,77,21394,0.034589137141254556
17031240600,551,24,35052,0.01571950245349766
17031222700,803,22,29254,0.027449237711082246
17031420300,728,42,12194,0.05970149253731343
17031450300,1963,45,5602,0.35041056765440914
17031080100,3492,8,44014,0.07933839232971328
17031080300,2332,8,44014,0.05298314172763212
17031031200,1760,3,22358,0.07871902674657841
17031030101,1565,77,21394,0.0731513508460316
